Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
AT1G18080	4219	2108	630	5691	2571	638
AT1G66970	35	20	4	40	12	5
AT1G47265	0	0	0	0	0	0
AT1G25280	933	1077	326	1268	623	127
AT1G48000	20	37	5	111	60	17
AT1G53330	37	32	9	41	10	3
AT1G62700	22	35	7	27	15	6
AT1G20135	0	0	0	0	0	0
AT1G64650	826	657	183	936	398	114
AT1G61562	0	0	0	0	0	0
AT1G23210	30	9	4	6	2	0
AT1G49320	667	743	255	309	219	39
AT1G66400	51	74	16	248	120	29
AT1G58280	156	194	80	510	251	51
AT1G01060	12	4	5	17	26	4
AT1G53010	0	0	0	0	0	0
AT1G60320	0	0	0	0	0	0
AT1G65300	0	0	0	0	0	0
AT1G24280	282	283	105	2309	1187	256
AT1G71696	340	351	134	369	180	35
AT1G09690	2376	1495	417	3344	1622	338
AT1G14780	266	293	70	865	319	69
AT1G03120	2	3	1	1	2	0
AT1G31000	0	0	0	0	0	0
AT1G26665	723	872	250	506	248	53
AT1G51380	73	90	22	134	62	20
AT1G37150	21	14	5	37	12	6
AT1G05310	115	73	20	59	48	6
AT1G43130	466	424	163	544	259	62
AT1G04110	0	0	0	0	0	2
AT1G13620	8	13	4	11	10	5
AT1G24440	324	319	133	381	212	42
AT1G01440	322	322	131	358	176	43
AT1G66200	28500	29432	9283	36201	18384	4084
AT1G09900	96	90	47	117	61	5
AT1G14455	6	7	0	19	14	0
AT1G01630	542	546	166	1124	443	122
AT1G20440	7838	9444	2556	6834	4302	646
AT1G77460	366	357	109	378	192	26
AT1G65040	592	621	224	1122	578	98
AT1G71430	51	75	20	130	60	11
AT1G18790	0	0	0	0	0	0
AT1G14830	1348	1315	389	1877	806	198
AT1G11990	1	0	1	1	0	0
AT1G77750	152	139	41	239	115	35
AT1G52620	96	104	33	120	60	23
AT1G52930	268	326	75	467	260	70
AT1G21430	0	0	0	0	0	0
AT1G48060	1	4	1	1	1	0
AT1G58270	2302	2521	781	3210	1570	253
AT1G64790	1364	1227	440	2134	1016	201
AT1G59885	0	0	0	0	0	0
AT1G34410	0	0	0	0	0	0
AT1G01550	2639	2873	977	4310	2485	516
AT1G69270	26	35	10	83	17	6
AT1G23100	44	42	11	84	30	10
AT1G70940	477	447	162	1147	483	146
AT1G06810	1	0	0	0	0	0
AT1G32220	73	65	16	127	63	13
AT1G03650	40	37	9	55	34	8
AT1G17330	242	253	89	383	192	40
AT1G16090	10	14	1	9	5	0
AT1G32160	167	144	52	172	83	17
AT1G65090	0	1	0	0	0	0
AT1G78520	31	23	10	14	6	0
AT1G68325	0	1	0	0	0	0
AT1G55870	211	192	61	353	152	41
AT1G50900	78	88	22	35	13	5
AT1G10590	975	875	275	1139	557	151
AT1G73050	0	0	0	0	0	0
AT1G10200	1442	1410	456	1752	749	194
AT1G74300	62	75	6	67	34	4
AT1G07250	455	389	137	452	223	35
AT1G10370	9	36	3	142	97	11
AT1G09575	61	52	15	68	44	9
AT1G52618	13	6	2	11	4	1
AT1G05610	10	5	6	11	4	1
AT1G09150	282	302	94	418	210	36
AT1G18690	132	101	25	123	56	10
AT1G57777	0	0	0	0	0	0
AT1G71730	326	387	101	425	186	51
AT1G24390	0	0	0	0	0	0
AT1G61688	0	0	0	0	0	0
AT1G34310	0	0	0	0	0	0
AT1G55440	7	17	3	7	4	0
AT1G72530	25	31	21	45	24	5
AT1G62930	66	57	25	85	44	10
AT1G50480	3340	2967	1095	3031	1294	330
AT1G20540	237	192	64	234	108	26
AT1G58150	40	36	11	33	13	2
AT1G23060	34	30	10	18	9	0
AT1G23910	0	0	0	0	0	0
AT1G71330	31	33	7	60	32	6
AT1G48510	72	98	24	71	31	4
AT1G66370	0	0	0	0	0	0
AT1G24520	0	0	0	1	0	0
AT1G58225	0	0	0	3	3	1
AT1G76680	5970	6325	1975	17345	10583	2411
AT1G34245	0	0	0	0	1	0
AT1G57565	0	0	0	0	0	0
AT1G77420	424	500	122	508	228	49
AT1G27310	1297	1167	304	1374	624	171
AT1G35255	18	23	5	51	18	8
AT1G24020	3	2	0	17	4	1
AT1G72960	9	6	8	11	3	0
AT1G28210	79	98	21	193	96	22
AT1G14840	65	50	15	99	28	12
AT1G35620	779	675	233	699	329	58
AT1G72210	47	35	8	80	46	8
AT1G14685	487	446	159	550	261	48
AT1G66070	227	358	78	446	217	62
AT1G02070	0	3	0	0	0	0
AT1G70300	1476	1459	607	2442	1064	192
AT1G78922	0	0	0	0	0	0
AT1G33470	818	726	290	1322	611	140
AT1G55947	0	0	0	1	0	0
AT1G55540	451	342	127	564	231	41
AT1G78890	402	322	108	348	189	38
AT1G59940	98	96	17	151	58	12
AT1G01910	486	441	154	777	375	67
AT1G01570	55	79	13	36	12	1
AT1G08730	23	9	7	19	5	2
AT1G68185	88	73	30	129	49	14
AT1G16080	149	143	41	151	80	15
AT1G04940	9	7	2	16	2	4
AT1G02340	176	313	87	75	52	12
AT1G62880	148	173	58	203	97	22
AT1G67930	395	331	110	587	270	60
AT1G51170	158	144	61	334	132	55
AT1G71970	84	90	21	124	55	4
AT1G05385	103	120	41	57	23	5
AT1G47845	0	1	1	0	0	0
AT1G67560	578	696	223	1430	564	126
AT1G26320	0	0	0	0	0	0
AT1G01680	7	10	2	31	23	7
AT1G67025	0	0	0	5	0	0
AT1G64160	6	5	1	810	510	78
AT1G51780	0	1	0	0	1	0
AT1G65660	526	490	216	883	406	109
AT1G51600	248	177	73	303	139	35
AT1G71500	148	121	39	90	45	8
AT1G70780	2039	2297	599	4749	2884	542
AT1G66160	251	241	72	644	307	66
AT1G73120	24	23	6	18	26	7
AT1G48090	1238	1225	509	2375	1051	186
AT1G70760	2	1	0	0	1	0
AT1G47765	0	0	0	0	0	0
AT1G48820	1	0	0	0	1	0
AT1G18300	63	61	19	197	176	63
AT1G73680	246	250	91	274	100	25
AT1G35040	0	0	0	0	0	0
AT1G02810	439	317	142	843	323	50
AT1G54460	430	484	193	668	285	75
AT1G21990	1	3	1	3	3	1
AT1G06180	52	89	14	156	64	16
AT1G75660	1422	1281	445	1980	872	223
AT1G48620	1144	1034	345	1334	668	134
AT1G74250	466	450	206	797	377	77
AT1G07740	45	29	13	65	27	7
AT1G77140	266	310	112	473	213	50
AT1G73170	266	297	93	310	139	21
AT1G67500	409	394	141	727	294	68
AT1G26350	0	0	0	0	0	0
AT1G32510	4	4	0	39	21	1
AT1G22890	42	34	6	82	86	24
AT1G23830	2	0	1	6	0	0
AT1G76510	239	200	54	295	129	37
AT1G08010	142	126	29	133	78	15
AT1G05840	581	526	201	757	299	70
AT1G55200	14	14	3	22	12	6
AT1G17070	233	231	97	374	180	23
AT1G78090	336	324	114	717	287	77
AT1G70810	271	262	106	1054	535	145
AT1G64750	503	449	125	854	458	139
AT1G46984	0	0	0	0	0	0
AT1G11460	114	139	45	63	51	7
AT1G78440	2	14	7	3	3	0
AT1G79570	768	786	294	1107	543	93
AT1G09157	0	0	0	0	0	1
AT1G03720	0	0	0	1	0	0
AT1G01690	62	40	16	88	35	8
AT1G76230	10	25	4	16	6	0
AT1G63240	102	84	39	120	45	8
AT1G70960	0	0	0	1	0	0
AT1G34300	755	724	287	969	438	91
AT1G09680	17	34	8	48	20	6
AT1G42680	0	0	0	0	0	0
AT1G29180	64	73	22	30	4	0
AT1G03730	283	242	70	365	223	57
AT1G18160	1046	1070	406	1469	686	143
AT1G53490	55	55	18	110	40	7
AT1G77100	0	0	0	1	0	0
AT1G67130	0	1	0	0	0	0
AT1G26260	63	67	28	122	56	16
AT1G64255	0	0	0	0	0	0
AT1G08290	13	18	4	236	102	36
AT1G12320	49	58	7	149	68	21
AT1G18990	4	6	5	6	5	1
AT1G11220	23	16	4	20	13	2
AT1G55207	1	1	1	8	1	0
AT1G74660	212	225	66	418	219	59
AT1G63460	469	606	187	639	294	85
AT1G55325	662	676	274	1119	529	103
AT1G77660	99	110	33	305	187	44
AT1G30130	784	955	268	627	301	45
AT1G80390	0	0	0	1	0	0
AT1G31300	345	345	114	440	194	55
AT1G73750	132	147	51	196	103	11
AT1G55990	756	703	277	517	327	23
AT1G60570	0	0	0	0	0	0
AT1G68907	0	0	0	0	0	0
AT1G66030	3	1	2	2	0	0
AT1G27170	311	355	127	453	285	52
AT1G04700	115	139	38	134	45	16
AT1G67050	110	168	39	90	48	18
AT1G76220	59	72	9	23	9	1
AT1G56400	0	0	0	0	0	0
AT1G78040	2520	2649	693	3033	1533	427
AT1G49170	94	90	31	98	43	8
AT1G31540	578	766	260	731	375	62
AT1G29420	0	0	0	0	0	0
AT1G64840	213	242	75	357	165	36
AT1G62030	2	11	0	16	10	2
AT1G60095	66	83	34	182	80	17
AT1G21230	14	5	3	30	19	1
AT1G21660	743	890	275	877	421	103
AT1G65320	293	317	94	317	170	41
AT1G50570	559	542	174	1220	587	145
AT1G33850	0	0	0	0	0	0
AT1G47870	162	132	63	348	145	42
AT1G47680	0	0	0	0	0	0
AT1G48850	966	1207	324	3267	1444	429
AT1G70440	15	14	1	209	74	39
AT1G65150	15	19	5	52	25	8
AT1G72800	51	70	17	77	35	9
AT1G09000	152	153	67	207	76	16
AT1G36160	2499	2926	870	3276	1613	276
AT1G02145	297	332	99	373	166	34
AT1G23510	3	0	0	1	0	0
AT1G51690	798	791	254	1034	485	106
AT1G50650	0	0	0	0	0	0
AT1G47578	29	24	16	25	19	1
AT1G56105	0	0	0	0	0	0
AT1G06490	136	93	52	202	97	27
AT1G63640	316	274	114	485	202	66
AT1G19970	56	47	20	102	42	13
AT1G50110	94	125	19	156	52	22
AT1G21540	0	0	0	4	0	0
AT1G13590	96	229	32	62	30	6
AT1G22610	0	0	0	0	0	0
AT1G75110	22	13	9	26	12	3
AT1G73110	24	30	13	40	15	2
AT1G36756	0	0	0	0	0	0
AT1G20370	165	157	53	278	116	45
AT1G55510	368	345	108	413	210	45
AT1G77170	45	44	27	104	58	9
AT1G70660	530	560	228	438	254	61
AT1G51480	28	41	19	47	16	1
AT1G59359	0	2	0	0	0	0
AT1G26921	0	0	0	0	0	0
AT1G75870	0	0	0	0	0	0
AT1G75335	35	62	14	68	33	16
AT1G22830	95	94	40	144	71	16
AT1G09630	184	184	58	326	127	35
AT1G17280	436	515	138	782	404	99
AT1G02750	111	145	54	231	125	34
AT1G61070	1	0	0	0	0	0
AT1G15385	3	9	0	41	30	9
AT1G12855	0	0	0	0	0	0
AT1G03520	159	132	56	148	74	9
AT1G67880	154	172	48	240	130	28
AT1G36580	0	0	0	0	0	0
AT1G74190	0	0	0	2	2	1
AT1G14590	83	70	28	97	52	11
AT1G80625	2	0	0	0	1	0
AT1G08300	63	71	28	91	67	9
AT1G07020	140	184	45	158	69	17
AT1G59760	635	714	238	947	396	96
AT1G72570	0	0	0	0	0	0
AT1G01360	210	325	112	288	134	25
AT1G70400	0	0	0	0	1	0
AT1G52690	3	1	0	10	21	4
AT1G78750	22	18	8	17	7	3
AT1G15720	1	3	1	0	0	0
AT1G14850	641	569	235	929	511	109
AT1G70470	24	11	5	22	7	4
AT1G11820	632	492	198	613	272	56
AT1G80700	58	66	27	95	55	3
AT1G60783	0	0	0	0	0	0
AT1G25230	957	677	246	374	152	36
AT1G43900	219	320	91	440	219	59
AT1G67840	153	158	62	223	115	15
AT1G64660	1427	702	254	447	205	41
AT1G07690	9	5	3	0	4	0
AT1G47920	1	2	0	0	2	0
AT1G23680	0	0	0	0	0	0
AT1G18450	642	519	178	790	393	74
AT1G17960	73	63	37	74	44	9
AT1G55930	119	120	62	171	103	23
AT1G61400	56	71	24	155	62	14
AT1G03080	2346	3034	1161	3399	1603	282
AT1G56660	140	341	205	198	311	23
AT1G24130	52	33	17	94	32	14
AT1G54960	70	66	19	155	73	24
AT1G48350	204	150	39	136	77	16
AT1G80330	0	1	0	0	0	0
AT1G14440	2	1	1	3	0	0
AT1G65620	4	1	1	3	3	3
AT1G11620	0	0	0	1	0	0
AT1G69490	10	9	5	31	13	9
AT1G78990	190	219	58	464	218	33
AT1G29100	1	3	0	1	1	0
AT1G52315	12	6	6	20	14	6
AT1G70100	156	161	58	120	52	9
AT1G61480	155	191	94	455	228	33
AT1G35220	659	675	233	733	350	64
AT1G27510	497	495	194	538	271	69
AT1G65780	0	0	0	0	0	0
AT1G69010	199	230	73	345	179	34
AT1G30870	887	847	229	663	211	24
AT1G56710	1	0	0	4	0	0
AT1G05800	0	0	0	5	2	0
AT1G63350	50	66	22	95	48	6
AT1G34827	0	0	0	0	0	0
AT1G03055	1	1	0	1	4	1
AT1G01160	328	248	71	437	189	39
AT1G47340	57	59	15	117	71	12
AT1G11170	41	66	22	100	55	13
AT1G62045	18	22	8	38	30	4
AT1G35467	0	0	0	0	0	0
AT1G69970	27	18	4	50	26	10
AT1G43145	0	0	0	0	0	0
AT1G20132	0	0	0	0	0	0
AT1G70210	349	265	161	388	209	63
AT1G49880	16	29	17	69	29	2
AT1G27060	28	23	14	67	35	9
AT1G30757	0	0	0	0	0	0
AT1G30690	815	883	351	1274	642	148
AT1G43760	0	0	0	0	0	0
AT1G35680	255	206	53	176	90	17
AT1G61550	12	5	2	188	105	33
AT1G36745	0	0	0	0	0	0
AT1G58120	37	31	16	7	2	1
AT1G69090	0	0	0	0	0	0
AT1G27870	0	0	0	0	0	0
AT1G63710	0	0	0	0	0	0
AT1G03103	0	0	0	0	0	0
AT1G31970	759	800	304	1432	737	195
AT1G04960	364	397	151	721	389	97
AT1G68440	1037	1322	402	1469	712	137
AT1G05085	0	0	0	0	0	0
AT1G10740	216	211	90	346	193	37
AT1G19040	0	0	0	0	0	0
AT1G32960	7	5	2	257	208	37
AT1G10290	1208	1103	334	2018	976	181
AT1G34020	201	193	60	267	133	20
AT1G20575	234	243	103	366	186	43
AT1G56085	0	0	0	4	1	0
AT1G49190	0	0	0	0	0	0
AT1G01730	316	288	98	526	252	66
AT1G26500	6	4	7	18	9	2
AT1G75125	7	8	4	10	6	0
AT1G13800	38	32	4	49	21	5
AT1G28380	732	642	258	1512	852	165
AT1G10150	0	0	0	0	0	0
AT1G02180	25	15	11	35	15	3
AT1G01180	283	240	71	208	66	11
AT1G04625	0	0	0	0	0	0
AT1G16810	490	304	153	532	333	53
AT1G14160	232	255	67	128	71	7
AT1G55370	8	6	3	10	3	0
AT1G67790	0	0	0	0	0	0
AT1G30110	520	732	191	425	200	40
AT1G70640	1	7	4	4	4	1
AT1G71691	0	0	0	2	1	0
AT1G78970	38	34	11	77	30	6
AT1G09610	3	3	2	1	2	0
AT1G69190	0	0	0	0	0	0
AT1G34065	42	33	9	65	31	10
AT1G69730	1	0	0	3	2	0
AT1G64300	60	69	26	94	47	11
AT1G18180	62	47	26	82	29	7
AT1G53260	0	0	0	1	0	0
AT1G18750	31	23	9	60	37	5
AT1G72670	48	35	3	68	30	11
AT1G63090	121	153	44	789	487	123
AT1G67350	870	858	290	1309	634	179
AT1G03430	176	137	71	202	125	26
AT1G31670	0	1	0	2	0	0
AT1G48790	834	966	315	1195	545	115
AT1G64510	247	180	37	140	58	16
AT1G10980	0	0	0	2	0	0
AT1G61667	198	264	100	223	117	16
AT1G48270	86	71	23	134	63	21
AT1G66570	0	0	0	7	4	4
AT1G35720	7702	9130	2237	12066	4899	1231
AT1G11690	0	1	1	1	1	0
AT1G68880	93	129	51	288	153	37
AT1G72180	403	374	146	450	224	46
AT1G15920	276	331	85	322	166	42
AT1G78020	734	557	226	333	124	31
AT1G63060	0	0	0	0	0	0
AT1G24265	45	43	14	85	41	10
AT1G19710	273	283	84	369	174	39
AT1G28050	318	243	104	694	248	65
AT1G51420	803	1080	361	3391	1843	498
AT1G65540	920	929	376	1690	801	169
AT1G21600	349	311	91	234	110	29
AT1G68980	80	97	39	133	57	13
AT1G20270	136	117	50	209	105	28
AT1G73640	92	95	28	95	48	8
AT1G02260	282	378	106	513	175	42
AT1G20410	126	140	35	232	111	29
AT1G55675	42	47	10	38	18	4
AT1G19900	526	681	207	18	13	2
AT1G30260	39	50	16	64	35	4
AT1G10800	37	25	6	28	12	2
AT1G56140	1570	1523	641	2791	1432	263
AT1G74270	444	395	61	699	323	91
AT1G43610	0	0	0	0	0	0
AT1G20050	1008	1003	253	1127	496	138
AT1G72250	127	97	44	195	105	20
AT1G10940	1208	1154	413	2062	903	182
AT1G02420	19	26	5	15	7	3
AT1G32460	10	17	6	9	1	4
AT1G35614	0	0	0	0	0	0
AT1G11390	263	313	80	352	170	33
AT1G25450	118	96	34	80	32	17
AT1G77490	46	38	11	29	13	3
AT1G69250	351	406	123	604	337	80
AT1G14890	406	228	71	260	101	34
AT1G66280	5544	6007	1744	7292	3144	553
AT1G07900	0	0	1	29	20	12
AT1G59218	1	0	1	0	0	0
AT1G33410	631	668	280	1148	577	108
AT1G72280	63	105	31	218	115	23
AT1G53670	144	264	52	231	117	23
AT1G78290	672	843	234	120	82	5
AT1G36640	31	53	18	47	25	4
AT1G17360	267	324	92	391	207	34
AT1G14150	8	7	1	6	2	0
AT1G03490	0	0	0	0	0	0
AT1G62910	22	26	14	34	18	4
AT1G70420	296	344	124	396	340	54
AT1G52590	23	44	13	46	24	3
AT1G29850	466	408	157	808	412	89
AT1G33810	129	137	52	182	85	18
AT1G19600	652	544	207	888	348	98
AT1G51035	9	9	2	3	2	0
AT1G18340	96	103	29	130	40	11
AT1G53345	68	104	36	112	56	11
AT1G23995	0	0	0	0	0	0
AT1G31820	40	51	23	93	42	9
AT1G55350	1046	991	393	1517	785	144
AT1G29460	1	1	0	0	0	0
AT1G07420	407	515	143	586	318	53
AT1G04260	154	112	29	230	90	25
AT1G14720	339	340	154	482	223	79
AT1G69550	80	112	40	117	87	8
AT1G62981	28	45	18	22	10	4
AT1G65080	86	93	45	133	65	9
AT1G80350	265	255	63	295	151	28
AT1G67060	330	362	124	700	416	110
AT1G68845	5	2	2	5	2	1
AT1G63600	25	20	3	52	16	2
AT1G05930	0	0	0	0	0	0
AT1G58265	0	0	0	0	0	0
AT1G74100	1445	1385	492	5047	3093	653
AT1G48450	535	543	172	458	244	76
AT1G15600	0	0	0	0	1	0
AT1G68210	0	0	0	0	0	0
AT1G24159	0	0	0	0	0	0
AT1G31910	2334	2265	717	4048	1821	481
AT1G43630	0	0	0	0	0	0
AT1G75010	217	209	79	236	112	21
AT1G09700	133	119	35	198	81	16
AT1G12900	293	118	51	132	51	22
AT1G30545	36	36	15	42	22	6
AT1G16840	379	462	115	552	247	57
AT1G69740	603	496	161	950	446	106
AT1G73280	357	434	193	407	178	33
AT1G30000	590	640	195	727	320	83
AT1G19150	7	3	2	2	0	0
AT1G04860	511	557	162	708	366	67
AT1G60170	863	775	308	1144	561	116
AT1G42190	0	0	0	0	0	0
AT1G45010	1	1	0	4	3	1
AT1G76065	26	56	13	46	28	8
AT1G69780	187	208	62	205	102	23
AT1G08750	147	146	51	200	108	27
AT1G62305	143	136	42	230	111	26
AT1G28610	8	6	2	37	14	4
AT1G20490	167	122	36	172	93	6
AT1G73970	228	232	87	321	130	35
AT1G74580	106	82	49	125	56	14
AT1G52100	27	28	9	23	20	3
AT1G07670	1522	1449	510	2392	1099	203
AT1G02890	1881	1755	666	3078	1464	313
AT1G47720	61	71	22	102	58	12
AT1G33120	928	805	175	1361	617	183
AT1G30700	2457	1934	758	2728	1820	346
AT1G51650	795	964	241	1503	658	164
AT1G27840	310	298	111	410	179	39
AT1G63105	0	0	0	0	3	0
AT1G09230	139	142	37	205	103	20
AT1G06900	917	880	302	905	463	83
AT1G06050	79	105	35	113	70	12
AT1G73250	341	241	73	303	161	38
AT1G07050	1	4	4	2	1	0
AT1G64810	71	100	39	156	65	12
AT1G75270	1078	1295	363	3353	1814	454
AT1G64920	55	34	9	11	11	2
AT1G54680	58	54	22	60	23	4
AT1G05950	57	49	29	69	26	13
AT1G33390	290	358	103	481	217	53
AT1G73990	302	320	116	574	252	63
AT1G56210	142	104	52	153	101	10
AT1G35030	0	0	0	0	0	0
AT1G78580	226	251	119	514	295	51
AT1G25155	0	0	0	0	0	0
AT1G31720	32	24	10	13	16	1
AT1G80030	131	164	59	194	106	16
AT1G32980	0	0	0	0	0	0
AT1G56620	0	0	0	0	0	0
AT1G50680	0	0	0	0	1	0
AT1G78500	0	0	0	1	0	0
AT1G58460	0	0	0	0	0	0
AT1G45145	1724	2418	605	3280	2337	621
AT1G53530	63	71	17	98	36	14
AT1G67035	17	18	2	20	5	2
AT1G21980	709	857	357	1914	747	199
AT1G05100	6	11	2	25	23	8
AT1G56330	1016	1142	300	1456	678	167
AT1G62500	17	18	1	25	9	3
AT1G72940	49	42	12	366	227	60
AT1G35242	1	3	0	2	8	1
AT1G60750	258	412	86	1925	1230	299
AT1G68120	14	9	1	11	4	0
AT1G47330	407	381	160	592	253	68
AT1G18740	560	551	136	998	656	141
AT1G04210	731	804	251	1146	571	124
AT1G66060	2	1	1	0	1	1
AT1G56415	0	0	0	0	0	0
AT1G13910	64	65	20	185	101	32
AT1G07780	178	134	52	151	128	13
AT1G54940	73	67	23	43	7	2
AT1G76100	45	32	10	22	13	5
AT1G66100	2	1	0	2	0	0
AT1G27360	66	58	19	82	38	10
AT1G73530	19	29	3	30	14	3
AT1G77400	44	32	10	51	22	6
AT1G49290	0	0	0	0	0	0
AT1G67220	2	3	1	3	1	0
AT1G36272	0	0	0	0	0	0
AT1G35780	320	298	106	607	238	69
AT1G56460	537	570	238	652	317	83
AT1G16520	185	201	61	422	164	34
AT1G63057	2	14	2	19	7	3
AT1G06450	26	10	9	38	17	2
AT1G59722	0	0	0	0	0	0
AT1G51680	1774	1808	578	8483	4255	969
AT1G55160	275	349	83	315	150	45
AT1G69150	5	3	2	36	38	4
AT1G66040	5	2	2	7	5	0
AT1G23020	816	839	307	701	311	56
AT1G51915	0	2	0	8	3	0
AT1G69380	78	80	30	139	51	9
AT1G54400	4	2	1	6	2	1
AT1G27420	85	117	37	77	30	7
AT1G27910	145	127	48	225	93	21
AT1G49040	773	701	214	1133	509	114
AT1G58223	0	0	0	0	0	0
AT1G67330	0	0	0	0	0	0
AT1G23300	0	0	0	2	0	0
AT1G64230	4967	6472	1688	4076	2133	537
AT1G57690	0	0	0	0	0	0
AT1G55152	0	0	0	0	0	0
AT1G48030	1425	1259	408	2890	1255	306
AT1G50890	142	149	53	174	60	10
AT1G15590	0	0	0	0	0	0
AT1G15180	32	7	8	16	4	0
AT1G79460	150	110	35	192	107	20
AT1G20823	109	78	19	226	213	29
AT1G27330	238	343	82	493	264	68
AT1G78830	1241	1018	275	1063	872	144
AT1G60050	6	6	2	11	13	3
AT1G72545	0	0	0	0	0	0
AT1G64584	0	0	0	0	0	0
AT1G69523	3	2	0	14	3	1
AT1G20720	62	46	19	74	42	13
AT1G55610	216	270	95	406	194	64
AT1G07400	19	16	1	797	496	157
AT1G34575	0	0	0	0	0	0
AT1G44170	1168	1333	399	2447	1031	266
AT1G27600	400	355	116	471	205	52
AT1G02710	0	0	0	0	0	0
AT1G15040	677	745	182	117	106	4
AT1G05200	344	323	159	411	213	21
AT1G05575	102	141	40	240	208	46
AT1G75220	1785	1680	623	1480	676	133
AT1G13860	166	154	53	280	120	32
AT1G05720	245	228	87	331	140	40
AT1G53300	577	611	190	842	337	59
AT1G54180	91	67	17	79	38	9
AT1G61810	40	87	36	144	112	51
AT1G62640	485	501	157	504	214	54
AT1G24430	118	98	71	512	225	45
AT1G80590	0	0	0	1	2	1
AT1G35820	0	0	0	0	0	0
AT1G63250	117	112	41	201	87	21
AT1G23890	187	176	52	273	108	24
AT1G20480	106	72	26	82	45	5
AT1G61790	1872	1594	488	2119	964	246
AT1G68300	1121	1276	403	1618	795	204
AT1G69790	103	138	51	266	174	54
AT1G10560	47	67	15	61	25	2
AT1G68780	2	0	0	0	0	1
AT1G07640	244	267	86	770	399	98
AT1G32710	0	0	0	0	1	0
AT1G34070	0	0	0	0	0	0
AT1G52155	132	169	54	162	77	15
AT1G47500	318	303	84	487	259	48
AT1G77765	16	10	5	22	9	2
AT1G62190	0	0	0	0	0	0
AT1G26130	133	148	59	187	116	25
AT1G59500	0	0	0	0	0	0
AT1G77010	9	14	1	21	20	1
AT1G74130	0	0	0	0	0	0
AT1G15360	0	0	0	0	0	0
AT1G07170	222	182	48	253	131	39
AT1G10360	22	34	6	61	42	5
AT1G22780	1082	940	245	1422	709	218
AT1G64610	242	253	79	690	313	71
AT1G02305	1513	1608	572	1609	701	169
AT1G21860	0	2	2	3	2	0
AT1G70990	91	72	31	76	22	9
AT1G16030	115	96	41	1881	1794	359
AT1G34270	103	97	39	158	63	16
AT1G69570	6	6	2	15	9	5
AT1G03240	0	1	0	1	0	0
AT1G05820	59	53	18	55	33	5
AT1G60690	37	27	12	37	20	10
AT1G58210	80	94	28	92	40	7
AT1G58007	8	5	3	23	11	5
AT1G29900	1480	1247	415	1840	969	239
AT1G33320	20	23	13	14	5	0
AT1G72630	232	299	92	323	174	36
AT1G09780	1945	1818	531	3910	2005	497
AT1G29435	0	0	0	0	0	0
AT1G15350	468	583	140	397	185	33
AT1G06515	132	143	40	188	92	17
AT1G50030	1425	1299	480	1971	996	196
AT1G32520	19	27	7	34	18	4
AT1G51210	0	0	0	0	0	0
AT1G66930	133	150	64	36	14	1
AT1G03540	25	10	15	43	16	5
AT1G76310	111	99	44	129	63	27
AT1G64385	306	300	98	431	227	47
AT1G43850	672	668	215	883	389	72
AT1G76965	0	0	0	0	0	0
AT1G51570	777	644	232	872	412	106
AT1G76130	30	20	14	46	18	5
AT1G11050	3	2	0	2	1	0
AT1G72080	0	0	0	0	0	0
AT1G04680	423	298	97	465	185	50
AT1G32780	3	1	1	9	4	0
AT1G18370	178	150	53	269	133	39
AT1G24040	110	115	40	150	66	10
AT1G61120	0	0	0	0	0	0
AT1G69160	68	23	20	80	26	9
AT1G22230	192	250	71	230	91	17
AT1G75240	5	1	0	0	0	0
AT1G53700	18	11	6	14	2	2
AT1G80460	3808	2939	958	4002	1904	348
AT1G59640	23	24	8	40	24	4
AT1G19850	239	185	64	512	258	78
AT1G21925	0	0	0	0	0	0
AT1G48600	3090	2426	1087	11553	5198	1305
AT1G28390	112	79	39	274	119	25
AT1G67030	553	864	143	969	514	71
AT1G64340	0	0	0	2	3	0
AT1G31550	0	2	1	12	0	1
AT1G52360	1525	1333	496	1980	901	196
AT1G77270	3	1	1	5	2	1
AT1G64320	11	15	10	26	9	4
AT1G03165	0	1	0	1	0	0
AT1G64590	337	426	154	567	167	23
AT1G79400	0	0	0	0	0	0
AT1G02880	338	442	135	834	498	110
AT1G38790	0	0	0	0	0	0
AT1G63190	0	0	0	0	0	0
AT1G78850	8475	7202	2213	7382	4592	703
AT1G70895	62	73	26	73	27	5
AT1G12230	992	691	236	876	456	93
AT1G35830	35	22	9	59	38	4
AT1G75430	1	2	0	7	1	1
AT1G53450	42	33	22	45	25	9
AT1G25330	0	0	0	0	0	0
AT1G21950	0	0	0	0	0	0
AT1G23650	0	0	0	0	0	0
AT1G72270	3	2	0	4	3	2
AT1G30170	0	0	0	0	0	0
AT1G15757	0	0	0	0	0	0
AT1G28150	82	106	24	88	37	16
AT1G69500	6	0	0	0	0	0
AT1G23580	0	0	0	2	0	0
AT1G03440	84	70	20	49	35	6
AT1G76270	243	232	74	329	151	32
AT1G65560	83	94	27	176	74	19
AT1G13730	340	280	80	373	208	54
AT1G18060	91	101	29	112	45	8
AT1G21640	541	591	178	882	354	89
AT1G08960	140	111	45	196	98	15
AT1G79860	23	38	11	37	9	2
AT1G68360	19	11	6	91	49	11
AT1G10550	40	34	8	9	7	0
AT1G34570	89	80	31	102	52	13
AT1G65710	29	33	11	54	20	6
AT1G56530	0	0	0	0	0	0
AT1G53320	933	903	255	961	463	86
AT1G17220	475	501	179	341	203	30
AT1G77525	0	0	1	3	1	0
