Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
AT1G10540	5	4	1	19	11	1
AT1G63615	0	0	0	0	0	0
AT1G49240	12895	12164	3660	8456	3854	803
AT1G09240	0	0	0	3	0	0
AT1G67810	637	685	225	1688	1034	251
AT1G70850	20393	20266	6072	25593	11713	1815
AT1G56360	0	0	0	0	0	0
AT1G18835	8	4	2	22	13	3
AT1G65920	70	99	31	121	64	18
AT1G11915	25	6	6	18	12	3
AT1G28440	1394	1258	449	1747	811	195
AT1G01650	551	520	165	596	298	44
AT1G16510	14	12	3	5	1	1
AT1G25025	0	0	0	0	0	0
AT1G53023	0	0	0	0	0	0
AT1G33440	46	38	17	93	44	10
AT1G74720	281	203	80	528	191	49
AT1G72290	0	0	0	0	0	0
AT1G53230	4	5	0	5	2	0
AT1G01970	84	59	19	79	46	10
AT1G12860	22	14	2	26	16	9
AT1G11400	296	352	98	414	180	54
AT1G53705	0	0	0	0	0	0
AT1G75560	450	341	118	742	310	66
AT1G56225	0	0	0	0	0	0
AT1G27290	1064	1079	377	1324	635	179
AT1G16740	120	112	41	263	126	29
AT1G64060	1411	1657	622	2125	1011	214
AT1G15470	151	161	42	225	109	25
AT1G01800	709	709	220	1095	567	145
AT1G27260	0	0	0	0	0	0
AT1G30560	18	9	6	1	3	1
AT1G41830	800	605	211	1208	482	143
AT1G31490	9	7	1	5	1	0
AT1G34490	2	2	1	0	0	0
AT1G08440	0	0	0	2	1	1
AT1G04440	2114	2274	925	2694	1289	243
AT1G49520	86	81	41	153	70	9
AT1G44608	81	91	36	82	38	3
AT1G54370	641	665	212	764	388	77
AT1G12600	11	10	4	6	1	1
AT1G74920	1556	1388	437	1532	661	178
AT1G08150	0	0	0	0	0	0
AT1G36100	0	0	0	0	0	0
AT1G77080	318	384	134	351	218	35
AT1G15610	0	0	0	0	0	0
AT1G56050	65	76	35	152	56	17
AT1G55365	1	0	0	0	1	0
AT1G15130	1519	1478	464	2174	1122	210
AT1G26220	0	0	0	0	0	0
AT1G48720	0	0	0	1	3	0
AT1G09932	61	68	26	617	347	82
AT1G49420	0	0	0	0	0	0
AT1G15670	1178	1291	226	348	171	27
AT1G78895	145	137	37	219	81	14
AT1G15460	40	39	10	74	43	6
AT1G22530	2079	2475	760	2162	851	139
AT1G05780	72	57	11	66	41	7
AT1G17840	71	57	19	237	116	20
